player,age,tm.x,number,position,ht,wt,college,country
Precious Achiuwa,21,MIA,5,F,8-Jun,225,Memphis,Nigeria
Jaylen Adams,24,MIL,6,G,1-Jun,225,St. Bonaventure,USA
Steven Adams,27,NOP,12,C,11-Jun,265,Pittsburgh,New Zealand
Bam Adebayo,23,MIA,13,C-F,9-Jun,255,Kentucky,USA
LaMarcus Aldridge,35,SAS,12,C-F,11-Jun,250,Texas,USA
Ty-Shon Alexander,22,PHO,0,G,3-Jun,195,Creighton,USA
Nickeil Alexander-Walker,22,NOP,6,G,6-Jun,205,Virginia Tech,Canada
Grayson Allen,25,MEM,3,G,4-Jun,198,Duke,USA
Jarrett Allen,22,TOT,31,C,11-Jun,243,Texas,USA
Al-Farouq Aminu,30,ORL,2,F,8-Jun,220,Wake Forest,USA
Kyle Anderson,27,MEM,1,F-G,9-Jun,230,UCLA,USA
Giannis Antetokounmpo,26,MIL,34,F,11-Jun,242,Filathlitikos,Greece
Kostas Antetokounmpo,23,LAL,37,F,10-Jun,200,Dayton,Greece
Thanasis Antetokounmpo,28,MIL,43,F,6-Jun,219,Panathinaikos,Greece
Carmelo Anthony,36,POR,0,F,7-Jun,238,Syracuse,USA
Cole Anthony,20,ORL,50,G,2-Jun,185,North Carolina,USA
OG Anunoby,23,TOR,3,F,7-Jun,232,Indiana,United Kingdom
Ryan Arcidiacono,26,CHI,51,G,3-Jun,195,Villanova,USA
D.J. Augustin,33,MIL,12,G,11-May,183,Texas,USA
Deni Avdija,20,WAS,9,F,9-Jun,210,Maccabi Tel Aviv,Israel
Deandre Ayton,22,PHO,22,C,11-Jun,250,Arizona,Bahamas
Udoka Azubuike,21,UTA,20,C-F,10-Jun,280,Kansas,Nigeria
Dwayne Bacon,25,ORL,8,G-F,6-Jun,221,Florida State,USA
Marvin Bagley III,21,SAC,35,F,11-Jun,235,Duke,USA
LaMelo Ball,19,CHO,2,G,6-Jun,180,Illawarra,USA
Lonzo Ball,23,NOP,2,G,6-Jun,190,UCLA,USA
Mo Bamba,22,ORL,5,C,1-Jul,231,Texas-Austin,USA
Desmond Bane,22,MEM,22,G,5-Jun,215,TCU,USA
Harrison Barnes,28,SAC,40,F,8-Jun,225,North Carolina,USA
RJ Barrett,20,NYK,9,F-G,6-Jun,214,Duke,Canada
Will Barton,30,DEN,5,G,6-Jun,181,Memphis,USA
Keita Bates-Diop,25,SAS,6,F,8-Jun,229,Ohio State,USA
Nicolas Batum,32,LAC,33,G-F,8-Jun,230,Le Mans,France
Aron Baynes,34,TOR,46,C-F,10-Jun,260,Washington State,Australia
Kent Bazemore,31,GSW,26,G-F,4-Jun,195,Old Dominion,USA
Darius Bazley,20,OKC,7,F-G,8-Jun,208,Princeton HS (OH),USA
Bradley Beal,27,WAS,3,G,3-Jun,207,Florida,USA
Malik Beasley,24,MIN,5,G,4-Jun,187,Florida State,USA
Jordan Bell,26,WAS,NA,F,8-Jun,216,Oregon,USA
DeAndre' Bembry,26,TOR,95,G-F,5-Jun,210,St. Joseph's (PA),USA
Dāvis Bertāns,28,WAS,NA,NA,NA,NA,NA,NA
Patrick Beverley,32,LAC,21,G,1-Jun,180,Arkansas,USA
Saddiq Bey,21,DET,41,F,7-Jun,215,Villanova,USA
Tyler Bey,22,DAL,2,F,7-Jun,215,Colorado,USA
Khem Birch,28,ORL,24,C,9-Jun,233,UNLV,Canada
Goga Bitadze,21,IND,88,C-F,11-Jun,250,Mega Basket,Georgia
Bismack Biyombo,28,CHO,8,C,8-Jun,255,Baloncesto Fuenlabrada,DRC
Nemanja Bjelica,32,SAC,8,F,10-Jun,234,Fenerbahce,Serbia
Eric Bledsoe,31,NOP,5,G,1-Jun,214,Kentucky,USA
Keljin Blevins,25,POR,21,G,4-Jun,200,Montana State,USA
Bogdan Bogdanović,28,ATL,NA,NA,NA,NA,NA,NA
Bojan Bogdanović,31,UTA,NA,NA,NA,NA,NA,NA
Bol Bol,21,DEN,10,C-F,2-Jul,220,Oregon,Sudan
Marques Bolden,22,CLE,24,C,10-Jun,249,Duke,USA
Jordan Bone,23,ORL,NA,G,2-Jun,180,Tennessee,USA
Isaac Bonga,21,WAS,17,G,8-Jun,180,Skyliners Frankfurt,Germany
Devin Booker,24,PHO,1,G,5-Jun,206,Kentucky,USA
Chris Boucher,28,TOR,25,F-C,9-Jun,200,Oregon,Saint Lucia
Brian Bowen,22,IND,NA,NA,NA,NA,NA,NA
Avery Bradley,30,MIA,11,G,3-Jun,180,Texas,USA
Tony Bradley,23,PHI,11,C-F,10-Jun,248,North Carolina,USA
Jarrell Brantley,24,UTA,5,F,5-Jun,250,College of Charleston,USA
Ignas Brazdeikis,22,NYK,17,F,6-Jun,221,Michigan,Canada
Mikal Bridges,24,PHO,25,F,6-Jun,209,Villanova,USA
Miles Bridges,22,CHO,0,F,6-Jun,225,Michigan State,USA
Malcolm Brogdon,28,IND,7,G,5-Jun,229,Virginia,USA
Dillon Brooks,25,MEM,24,G-F,7-Jun,225,Oregon,Canada
Bruce Brown,24,BRK,1,G-F,4-Jun,202,Miami,USA
Jaylen Brown,24,BOS,7,G-F,6-Jun,223,California,USA
Moses Brown,21,OKC,9,C,2-Jul,245,UCLA,USA
Sterling Brown,25,HOU,0,G-F,5-Jun,219,Southern Methodist,USA
Troy Brown Jr.,21,WAS,6,G-F,6-Jun,215,Oregon,USA
Jalen Brunson,24,DAL,13,G,1-Jun,190,Villanova,USA
Thomas Bryant,23,WAS,13,C-F,10-Jun,248,Indiana,USA
Reggie Bullock,29,NYK,25,G-F,6-Jun,205,North Carolina,USA
Trey Burke,28,DAL,3,G,1-Jun,185,Michigan,USA
Alec Burks,29,NYK,18,G,6-Jun,214,Colorado,USA
Jimmy Butler,31,MIA,22,F,7-Jun,230,Marquette,USA
Bruno Caboclo,25,HOU,NA,F,9-Jun,218,NA,Brazil
Devontae Cacok,24,LAL,12,F,7-Jun,240,North Carolina-Wilmington,USA
Kentavious Caldwell-Pope,27,LAL,1,G,5-Jun,204,Georgia,USA
Facundo Campazzo,29,DEN,7,G,10-May,195,Murcia,Argentina
Vlatko Čančar,23,DEN,NA,NA,NA,NA,NA,NA
Clint Capela,26,ATL,15,C,10-Jun,240,Elan Chalon,Switzerland
Vernon Carey Jr.,19,CHO,22,F-C,9-Jun,270,Duke,USA
Jevon Carter,25,PHO,4,G,1-Jun,200,West Virginia,USA
Wendell Carter Jr.,21,CHI,34,C-F,10-Jun,270,Duke,USA
Michael Carter-Williams,29,ORL,7,G,5-Jun,190,Syracuse,USA
Alex Caruso,26,LAL,4,G,4-Jun,186,Texas A&M,USA
Willie Cauley-Stein,27,DAL,33,C,1-Jul,240,Kentucky,USA
Chris Chiozza,25,BRK,4,G,11-May,175,Florida,USA
Marquese Chriss,23,GSW,32,F,9-Jun,240,Washington,USA
Gary Clark,26,ORL,12,F,6-Jun,225,Cincinnati,USA
Brandon Clarke,24,MEM,15,F-G,8-Jun,215,Gonzaga,Canada
Jordan Clarkson,28,UTA,0,G,4-Jun,194,Missouri,USA
Amir Coffey,23,LAC,7,G-F,7-Jun,210,Minnesota,USA
John Collins,23,ATL,20,F-C,9-Jun,235,Wake Forest,USA
Mike Conley,33,UTA,10,G,1-Jun,175,Ohio State,USA
Pat Connaughton,28,MIL,24,G,5-Jun,209,Notre Dame,USA
Quinn Cook,27,LAL,2,G,1-Jun,180,Duke,USA
DeMarcus Cousins,30,HOU,15,C,10-Jun,270,Kentucky,USA
Robert Covington,30,POR,23,F,7-Jun,209,Tennessee State,USA
Torrey Craig,30,MIL,3,F,7-Jun,221,South Carolina Upstate,USA
Jae Crowder,30,PHO,99,F,6-Jun,235,Marquette,USA
Jarrett Culver,21,MIN,23,G-F,6-Jun,195,Texas Tech,USA
Seth Curry,30,PHI,31,G,2-Jun,185,Duke,USA
Stephen Curry,32,GSW,30,G,3-Jun,185,Davidson,USA
Anthony Davis,27,LAL,3,F-C,10-Jun,253,Kentucky,USA
Ed Davis,31,MIN,17,C-F,9-Jun,218,North Carolina,USA
Terence Davis,23,TOR,0,G,4-Jun,201,Mississippi,USA
DeMar DeRozan,31,SAS,10,G-F,6-Jun,220,Southern California,USA
Hamidou Diallo,22,OKC,6,G,5-Jun,202,Kentucky,USA
Gorgui Dieng,31,MEM,14,C,10-Jun,252,Louisville,Senegal
Spencer Dinwiddie,27,BRK,26,G,5-Jun,215,Colorado,USA
Donte DiVincenzo,24,MIL,0,G,4-Jun,203,Villanova,USA
Luka Dončić,21,DAL,NA,NA,NA,NA,NA,NA
Luguentz Dort,21,OKC,5,G,3-Jun,215,Arizona State,Canada
Damyean Dotson,26,CLE,21,G,5-Jun,210,Houston,USA
Devon Dotson,21,CHI,3,G,2-Jun,185,Kansas,USA
Sekou Doumbouya,20,DET,45,F,8-Jun,230,Limoges,France
PJ Dozier,24,DEN,35,G-F,6-Jun,205,South Carolina,USA
Goran Dragić,34,MIA,NA,NA,NA,NA,NA,NA
Andre Drummond,27,CLE,3,C,10-Jun,279,Connecticut,USA
Jared Dudley,35,LAL,10,F,6-Jun,237,Boston College,USA
Kevin Durant,32,BRK,7,F,10-Jun,240,Texas,USA
Anthony Edwards,19,MIN,1,G,4-Jun,225,Georgia,USA
Carsen Edwards,22,BOS,4,G,11-May,200,Purdue,USA
CJ Elleby,20,POR,16,F-G,6-Jun,200,Washington State,USA
Wayne Ellington,33,DET,8,G,4-Jun,207,North Carolina,USA
Joel Embiid,26,PHI,21,C-F,1-Jul,280,Kansas,Cameroon
James Ennis,30,ORL,NA,NA,NA,NA,NA,NA
Drew Eubanks,23,SAS,14,F-C,9-Jun,245,Oregon State,USA
Dante Exum,25,CLE,5,G,5-Jun,214,Australian Institute of Sport,Australia
Tacko Fall,25,BOS,99,C,5-Jul,311,Central Florida,Senegal
Derrick Favors,29,UTA,15,F,9-Jun,265,Georgia Tech,USA
Cristiano Felício,28,CHI,NA,NA,NA,NA,NA,NA
Terrance Ferguson,22,PHI,23,G,6-Jun,190,Adelaide,USA
Bruno Fernando,22,ATL,24,F-C,9-Jun,240,Maryland,Angola
Yogi Ferrell,27,CLE,NA,G,1-Jun,178,Indiana,USA
Dorian Finney-Smith,27,DAL,10,F,7-Jun,220,Florida,USA
Malachi Flynn,22,TOR,8,G,1-Jun,175,San Diego State,USA
Bryn Forbes,27,MIL,7,G,2-Jun,205,Michigan State,USA
Trent Forrest,22,UTA,3,G,4-Jun,210,Florida State,USA
Evan Fournier,28,ORL,10,G-F,7-Jun,205,Poitiers Basket 86,France
De'Aaron Fox,23,SAC,5,G,3-Jun,185,Kentucky,USA
Tim Frazier,30,MEM,NA,G,1-Jun,170,Penn State,USA
Markelle Fultz,22,ORL,20,G,3-Jun,209,Washington,USA
Wenyen Gabriel,23,NOP,32,F,9-Jun,205,Kentucky,South Sudan
Daniel Gafford,22,CHI,12,F-C,10-Jun,234,Arkansas,USA
Danilo Gallinari,32,ATL,8,F,10-Jun,233,Olimpia Milano,Italy
Langston Galloway,29,PHO,2,G,1-Jun,200,St. Joseph's (PA),USA
Darius Garland,21,CLE,10,G,1-Jun,192,Vanderbilt,USA
Marc Gasol,36,LAL,14,C,11-Jun,255,FC Barcelona,Spain
Rudy Gay,34,SAS,22,F-G,8-Jun,250,Connecticut,USA
Paul George,30,LAC,13,F,8-Jun,220,Fresno State,USA
Taj Gibson,35,NYK,67,F,9-Jun,232,Southern California,USA
Harry Giles,22,POR,NA,NA,NA,NA,NA,NA
Shai Gilgeous-Alexander,22,OKC,2,G-F,6-Jun,180,Kentucky,Canada
Anthony Gill,28,WAS,16,F,7-Jun,230,Virginia,USA
Rudy Gobert,28,UTA,27,C,1-Jul,258,Cholet,France
Brandon Goodwin,25,ATL,0,G,1-Jun,180,Florida Gulf Coast,USA
Aaron Gordon,25,ORL,0,F,8-Jun,235,Arizona,USA
Eric Gordon,32,HOU,10,G,3-Jun,215,Indiana,USA
Devonte' Graham,25,CHO,4,G,1-Jun,195,Kansas,USA
Jerami Grant,26,DET,9,F,8-Jun,210,Syracuse,USA
Danny Green,33,PHI,14,G,6-Jun,215,North Carolina,USA
Draymond Green,30,GSW,23,F,6-Jun,230,Michigan State,USA
JaMychal Green,30,DEN,0,F-C,8-Jun,227,Alabama,USA
Javonte Green,27,BOS,43,G-F,4-Jun,205,Radford,USA
Jeff Green,34,BRK,8,F,8-Jun,235,Georgetown,USA
Josh Green,20,DAL,8,G,5-Jun,200,Arizona,Australia
Blake Griffin,31,DET,23,F,9-Jun,250,Oklahoma,USA
Kyle Guy,23,SAC,7,G,1-Jun,167,Virginia,USA
Rui Hachimura,22,WAS,8,F,8-Jun,230,Gonzaga,Japan
Ashton Hagans,21,MIN,22,G-F,3-Jun,190,Kentucky,USA
Tyrese Haliburton,20,SAC,0,G,5-Jun,185,Iowa State,USA
Josh Hall,20,OKC,15,F,9-Jun,190,Moravian Prep (NC),USA
R.J. Hampton,19,DEN,13,G,4-Jun,175,New Zealand Breakers,USA
Tim Hardaway Jr.,28,DAL,11,G-F,5-Jun,205,Michigan,USA
James Harden,31,TOT,13,G,5-Jun,220,Arizona State,USA
Maurice Harkless,27,MIA,8,F-G,7-Jun,220,St. John's,USA
Jared Harper,23,NYK,0,G,10-May,175,Auburn,USA
Montrezl Harrell,27,LAL,15,F-C,7-Jun,240,Louisville,USA
Gary Harris,26,DEN,14,G,4-Jun,210,Michigan State,USA
Jalen Harris,22,TOR,2,G,5-Jun,195,Nevada,USA
Joe Harris,29,BRK,12,G-F,6-Jun,220,Virginia,USA
Tobias Harris,28,PHI,12,F,8-Jun,226,Tennessee,USA
Shaquille Harrison,27,UTA,8,G,7-Jun,190,Tulsa,USA
Josh Hart,25,NOP,3,G,5-Jun,215,Villanova,USA
Isaiah Hartenstein,22,DEN,25,C-F,1-Jul,250,Zalgiris,Germany
Jaxson Hayes,20,NOP,10,C-F,11-Jun,220,Texas,USA
Killian Hayes,19,DET,7,G,5-Jun,195,Ratiopharm Ulm,France
Gordon Hayward,30,CHO,20,F,7-Jun,225,Butler,USA
Juan Hernangómez,25,MIN,NA,NA,NA,NA,NA,NA
Willy Hernangómez,26,NOP,NA,NA,NA,NA,NA,NA
Tyler Herro,21,MIA,14,G,5-Jun,195,Kentucky,USA
Buddy Hield,28,SAC,24,G,4-Jun,220,Oklahoma,Bahamas
George Hill,34,OKC,3,G,4-Jun,188,Indiana-Purdue Indianapolis,USA
Solomon Hill,29,ATL,18,F,6-Jun,226,Arizona,USA
Nate Hinton,21,DAL,14,G-F,3-Jun,210,Houston,USA
Aaron Holiday,24,IND,3,G,1-Jun,185,UCLA,USA
Jrue Holiday,30,MIL,21,G,3-Jun,205,UCLA,USA
Justin Holiday,31,IND,8,F-G,6-Jun,180,Washington,USA
Richaun Holmes,27,SAC,22,F,10-Jun,235,Bowling Green,USA
Rodney Hood,28,POR,5,G-F,8-Jun,208,Duke,USA
Al Horford,34,OKC,42,C-F,9-Jun,240,Florida,Dominican Republic
Talen Horton-Tucker,20,LAL,5,G,4-Jun,234,Iowa State,USA
Danuel House,27,HOU,NA,NA,NA,NA,NA,NA
Dwight Howard,35,PHI,39,C-F,10-Jun,265,SW Atlanta Christian Academy (GA),USA
Markus Howard,21,DEN,0,G,10-May,175,Marquette,USA
Kevin Huerter,22,ATL,3,G-F,7-Jun,190,Maryland,USA
Elijah Hughes,22,UTA,33,G,5-Jun,215,Syracuse,USA
De'Andre Hunter,23,ATL,12,F-G,8-Jun,225,Virginia,USA
Chandler Hutchison,24,CHI,15,F-G,6-Jun,210,Boise State,USA
Serge Ibaka,31,LAC,9,F,10-Jun,235,Ricoh Manresa,Republic of the Congo
Andre Iguodala,37,MIA,28,G-F,6-Jun,215,Arizona,USA
Joe Ingles,33,UTA,2,F-G,8-Jun,220,Maccabi Tel Aviv,Australia
Brandon Ingram,23,NOP,14,F,8-Jun,190,Duke,USA
Kyrie Irving,28,BRK,11,G,2-Jun,195,Duke,Australia
Wesley Iwundu,26,DAL,NA,NA,NA,NA,NA,NA
Frank Jackson,22,DET,5,G,3-Jun,205,Duke,USA
Josh Jackson,23,DET,20,G-F,8-Jun,207,Kansas,USA
Justin Jackson,25,OKC,44,F,8-Jun,220,North Carolina,USA
Reggie Jackson,30,LAC,1,G,2-Jun,208,Boston College,USA
Justin James,24,SAC,10,G-F,7-Jun,190,Wyoming,USA
LeBron James,36,LAL,23,F,9-Jun,250,St. Vincent-St. Mary HS (OH),USA
DaQuan Jeffries,23,SAC,19,G-F,5-Jun,230,Tulsa,USA
Isaiah Joe,21,PHI,7,G,4-Jun,165,Arkansas,USA
Cameron Johnson,24,PHO,23,F,8-Jun,210,North Carolina,USA
James Johnson,33,DAL,16,F,7-Jun,240,Wake Forest,USA
Keldon Johnson,21,SAS,3,F-G,5-Jun,220,Kentucky,USA
Stanley Johnson,24,TOR,5,F-G,6-Jun,242,Arizona,USA
Tyler Johnson,28,BRK,10,G,3-Jun,186,Fresno State,USA
Nikola Jokić,25,DEN,NA,NA,NA,NA,NA,NA
Damian Jones,25,PHO,30,C,11-Jun,245,Vanderbilt,USA
